VALUE_SET_CODE,ACCOUNT_TYPE,VALUE,DESCRIPTION,ENABLED_FLAG,START_DATE_ACTIVE,END_DATE_ACTIVE,CREATION_DATE,UPDATED_DATE
"KOJ Store",,99999999,"Default Store",Y,,,2020-12-01T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10135006,"MIK  KSA  Amazoncom",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10135007,"MIK  KSA  Golden Scentcom",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10135008,"MIK  KSA  NoorZafir",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10135009,"MIK  KSA  JoiGifts",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10135010,"MIK  KSA  6th Street",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10138001,"MIK  KSA 3rd Party  Panda Pharmacy",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10138002,"MIK  3RD PARTY  TR SKYSALES magazine",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10138003,"MIK  KSA 3rd Party  Madina Airport",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10138004,"MIK  KSA 3rd Party  Lagardere",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10138005,"MIK  KSA 3rd Party  Souq",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10138006,"MIK  KSA 3rd Party  Nisnas",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10138007,"MIK  KSA 3rd Party  MAF",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10138008,"MIK  KSA 3rd Party  Lifestyle Landmark",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10138009,"MIK  KSA 3rd Party  Jollychic",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10138010,"MIK  KSA 3rd Party  Noon Retail",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10138011,"MIK  KSA 3rd Party  TR SKYSALES Shop",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10139998,"KSA â€“ MIK New Channels",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10235002,"MHR  KSA Online  6thstreetcom",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10235003,"MHR  KSA â€“ NoorZafir",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10235004,"MHR  KSA  JoiGifts",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10235005,"MHR  KSA  Namshi",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10238002,"MHR  KSA Online  Resal",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10238003,"MHR  KSA 3rd party  Golden Scent",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10238004,"MHR  KSA Online  Nooncom",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
